pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w25000,w35000,w50000,w75000,w100000,w125000,w150000,w200000
142,225,2,51.0,8.25,460,69,437,322,253,1702,2346,1449,1541,1196
142,226,8,24.52352194,7.703173453,0,0,0,0,0,23,92,46,46,23
142,226,3,23.56051724,19.33965517,0,0,0,0,0,23,69,0,23,23
142,227,3,42.89761905,41.85714286,0,23,0,0,23,23,115,0,23,0
142,227,2,54.0,5.5,1541,3611,3013,1771,1840,2001,2714,1357,1035,1127
142,228,3,35.74761905,37.1,0,0,0,23,0,0,0,0,0,0
142,229,5,47.63333333,0.0,23,0,0,0,0,299,161,0,69,253
142,229,3,17.45781429,11.07094638,0,0,0,0,0,23,23,23,69,69
142,230,5,28.73333333,0.0,322,437,69,207,253,483,690,920,276,1518
142,231,3,28.49906922,19.71306308,0,0,0,0,0,0,0,0,0,0
142,231,8,27.58290772,23.00107047,0,23,0,0,0,23,46,23,0,23
142,233,5,60.48333333,0.0,0,0,0,0,23,115,46,207,92,138
142,233,8,22.60624291,21.40270524,0,0,0,23,0,138,184,115,69,207
142,233,2,24.0,5.5,23,0,92,23,207,759,759,1265,782,1610
142,234,8,22.67674544,21.741796100000002,69,230,414,460,437,667,1265,782,483,506
142,236,5,47.55,0.0,92,23,276,69,161,276,437,253,253,483
142,236,8,14.85135329,16.29634272,92,23,92,46,46,207,368,253,69,230
142,236,2,25.0,5.5,184,92,644,46,368,1426,2208,2024,989,1817
142,237,5,28.31666667,0.0,184,69,460,161,115,276,782,1541,1219,2829
142,237,2,15.0,2.75,69,23,299,69,23,276,621,1334,874,1495
142,238,3,10.64422317,7.461434047000001,299,437,736,276,299,644,1288,736,943,1311
142,239,8,7.644147800000001,15.59014216,506,759,1242,736,529,1656,2093,2783,2093,3473
142,239,2,9.0,2.75,1449,3243,3450,1794,2323,5980,7153,8372,5612,11063
142,239,5,22.05,0.0,3496,6210,9706,4876,5267,11086,16813,22793,17388,27324
142,239,3,7.885386018999999,5.884706715,207,276,391,276,230,506,920,1242,736,1771
142,241,3,26.63679245,34.04679245,0,0,23,0,0,46,23,0,0,0
142,242,2,72.0,5.5,230,391,552,460,253,598,828,713,184,575
142,242,8,32.83876543,12.45474087,0,23,92,69,23,23,138,92,23,23
142,242,3,33.79277778,39.25,0,0,0,0,0,0,0,0,0,0
142,243,2,41.0,2.75,1173,1679,1679,1288,874,3128,4140,3335,1472,4945
142,243,3,29.85588373,23.89431786,23,23,69,23,0,46,92,161,23,115
142,244,8,17.6484624,8.727863215,69,92,138,184,92,437,345,276,92,253
142,244,3,19.239685199999997,19.59343269,23,69,0,0,23,161,138,69,69,0
142,246,5,59.93333333,0.0,161,0,138,23,46,207,161,207,391,368
142,246,8,15.61155145,21.28905869,138,0,92,0,0,23,115,92,92,184
142,248,2,52.0,5.5,115,207,207,184,46,69,161,69,46,23
142,248,8,25.01432697,11.684595199999999,0,23,46,0,0,0,23,23,23,0
142,249,2,18.0,2.75,506,920,920,805,1150,2001,8487,3749,7590,5635
142,249,3,23.31100587,14.83722467,23,46,46,115,115,92,552,92,345,276
142,249,8,22.70387552,21.99108834,92,46,115,46,115,138,690,483,736,529
142,249,5,81.13333333,0.0,0,23,0,23,0,23,23,23,69,69
142,250,8,28.68527778,12.106230300000002,23,0,23,0,23,0,0,0,0,0
142,250,2,62.0,5.5,0,46,23,92,46,46,138,46,23,115
142,252,3,38.36875,43.46875,0,0,0,0,0,23,23,23,0,46
142,252,8,39.21169384,13.961279999999999,23,0,69,69,23,23,230,92,69,276
142,252,2,69.0,8.25,184,46,460,184,345,805,1564,1633,713,2369
142,254,2,59.0,2.75,0,0,0,0,0,23,23,0,0,0
142,255,2,31.0,5.5,276,690,989,920,874,6279,4071,3703,1656,3864
142,256,8,36.270306899999994,9.507281646000001,23,0,0,0,0,23,23,23,23,0
142,256,3,37.21458333,30.65625,0,46,0,0,0,23,23,0,0,23
142,257,3,36.59068627,37.79088235,46,0,0,0,0,92,46,69,23,115
142,257,2,57.0,5.5,575,805,437,437,368,1518,2691,2852,2852,2599
142,257,8,35.62298864,11.8212313,0,46,69,23,92,138,161,253,345,506
142,258,8,39.84726852,12.91720229,23,0,0,23,69,69,0,46,69,23
142,258,2,70.0,8.25,0,161,184,115,115,253,621,644,276,276
142,258,3,36.3037037,38.44444444,0,0,0,0,0,23,0,0,23,0
142,260,3,25.2299435,21.53389831,0,0,0,0,23,0,0,0,0,0
142,260,2,36.0,5.5,0,23,23,46,0,23,46,23,46,69
142,260,8,26.70921778,8.199185455,0,0,0,0,0,0,0,23,0,0
142,261,2,28.0,2.75,0,0,0,0,0,0,0,23,138,161
142,262,2,32.0,5.5,23,69,23,0,92,92,345,207,230,207
142,263,2,22.0,5.5,276,0,253,23,207,759,1495,2392,2185,966
142,263,8,17.2289535,16.5050919,23,0,46,46,23,0,115,276,299,69
142,263,5,56.78333333,0.0,0,0,0,0,0,0,23,115,299,115
142,263,3,19.05229453,12.36907245,0,0,0,46,69,0,161,161,253,92
143,3,2,67.0,5.5,23,0,23,0,0,69,115,69,23,69
143,3,8,31.28842593,13.72653714,0,0,0,0,0,0,23,0,0,0
143,4,8,27.30783559,23.29335391,0,92,23,46,23,23,0,23,0,0
143,7,2,44.0,5.5,345,920,1081,1058,1288,2001,2806,2369,1840,1679
143,7,8,30.94622211,8.221023104,92,46,23,161,92,276,345,253,276,138
143,10,8,50.83071895,15.61240615,0,0,0,0,23,23,46,23,0,23
143,10,3,49.33888889,53.66666667,0,0,0,23,0,23,69,23,0,0
143,10,5,356.46666669999996,0.0,0,0,0,23,0,46,0,46,23,23
143,10,2,68.0,8.25,0,0,0,23,69,161,161,368,92,46
143,13,8,24.01511543,23.10053578,0,23,0,23,0,115,0,161,92,345
143,13,2,39.0,2.75,92,46,138,299,69,874,460,1196,1380,1840
143,21,8,51.41868687,14.86132571,0,0,0,0,0,0,92,23,0,46
143,21,2,81.0,5.5,46,0,23,69,69,322,345,115,92,138
143,22,8,42.26052972,13.74823024,0,0,0,0,0,46,0,23,0,0
143,23,8,45.61666667,16.35879111,0,0,23,0,0,0,23,46,0,0
143,24,5,61.5,0.0,0,23,0,0,0,0,0,23,0,23
143,32,8,26.71280488,12.886246400000001,0,0,0,0,0,0,23,0,0,0
143,32,2,58.0,2.75,115,0,0,69,69,69,138,46,46,23
143,39,8,54.28958333,18.05882667,0,23,138,207,46,138,460,299,230,184
143,39,3,50.96666667,46.5,0,0,0,23,23,0,46,0,23,0
143,39,2,76.0,11.0,115,966,897,506,598,1932,4508,2461,1725,1587
143,41,5,85.45,0.0,0,0,0,0,0,0,0,0,0,0
143,41,3,18.88160394,13.76531183,0,0,0,0,0,46,0,23,0,23
143,43,5,43.2,0.0,46,0,161,0,0,138,92,437,253,506
143,43,3,12.92126102,9.055810179,23,0,69,0,0,23,69,92,23,299
143,43,8,12.79479311,15.95046949,0,23,23,23,0,92,138,92,138,276
143,44,2,129.0,8.25,0,0,0,23,0,0,46,0,0,46
143,45,3,32.65540541,23.11861862,46,115,46,161,46,46,46,23,0,23
