w_zip,h_zip,total,initialFeat,true_label
11212,11218,119,3.0,3
11212,11219,67,3.0,3
11212,11220,130,3.0,3
11212,11221,158,3.0,3
11212,11222,33,3.0,3
11212,11223,81,3.0,3
11212,11224,48,3.0,3
11212,11225,191,3.0,3
11212,11226,300,3.0,3
11212,11228,34,3.0,3
11212,11229,152,3.0,3
11212,11230,153,3.0,3
11212,11231,37,3.0,3
11212,11232,37,3.0,3
11212,11233,263,3.0,3
11212,11234,446,3.0,3
11212,11235,95,3.0,3
11212,11236,690,3.0,3
11212,11237,63,3.0,3
11212,11238,88,3.0,3
11212,11239,66,3.0,3
11212,11354,26,3.0,3
11212,11355,53,3.0,3
11212,11356,14,3.0,3
11212,11357,24,3.0,3
11212,11358,25,3.0,3
11212,11360,5,3.0,3
11212,11361,32,3.0,3
11212,11362,18,3.0,3
11212,11363,7,3.0,3
11212,11364,31,3.0,3
11212,11365,31,3.0,3
11212,11366,13,3.0,3
11212,11367,30,3.0,3
11212,11368,62,3.0,3
11212,11369,20,3.0,3
11212,11370,20,3.0,3
11212,11372,35,3.0,3
11212,11373,70,3.0,3
11212,11374,51,3.0,3
11212,11375,99,3.0,3
11212,11377,56,3.0,3
11212,11378,43,3.0,3
11212,11379,61,3.0,3
11212,11385,136,3.0,3
11212,11411,52,3.0,3
11212,11412,60,3.0,3
11212,11413,86,3.0,3
11212,11414,65,3.0,3
11212,11415,39,3.0,3
11212,11416,60,3.0,3
11212,11417,56,3.0,3
11212,11418,63,3.0,3
11212,11419,99,3.0,3
11212,11420,63,3.0,3
11212,11421,65,3.0,3
11212,11422,72,3.0,3
11212,11423,36,3.0,3
11212,11426,20,3.0,3
11212,11427,30,3.0,3
11212,11428,26,3.0,3
11212,11429,59,3.0,3
11212,11432,50,3.0,3
11212,11433,54,3.0,3
11212,11434,99,3.0,3
11212,11435,65,3.0,3
11212,11436,33,3.0,3
11212,11691,94,3.0,3
11212,11692,47,3.0,3
11212,11693,20,3.0,3
11212,11694,38,3.0,3
11212,11697,6,3.0,3
11225,10001,6,3.0,3
11225,10002,44,3.0,3
11225,10003,20,3.0,3
11225,10004,7,3.0,3
11225,10005,2,3.0,3
11225,10007,2,3.0,3
11225,10009,26,3.0,3
11225,10010,8,3.0,3
11225,10011,9,3.0,3
11225,10012,14,3.0,3
11225,10013,9,3.0,3
11225,10014,14,3.0,3
11225,10016,6,3.0,3
11225,10017,2,3.0,3
11225,10018,1,3.0,3
11225,10019,9,3.0,3
11225,10021,6,3.0,3
11225,10022,7,3.0,3
11225,10023,12,3.0,3
11225,10024,8,3.0,3
11225,10025,24,3.0,3
11225,10026,12,3.0,3
11225,10027,18,3.0,3
11225,10028,6,3.0,3
11225,10029,36,3.0,3
11225,10030,17,3.0,3
11225,10031,21,3.0,3
11225,10032,25,3.0,3
11225,10033,17,3.0,3
11225,10034,16,3.0,3
11225,10035,18,3.0,3
11225,10036,6,3.0,3
11225,10037,7,3.0,3
11225,10038,8,3.0,3
11225,10039,7,3.0,3
11225,10040,21,3.0,3
11225,10044,5,3.0,3
11225,10065,4,3.0,3
11225,10075,4,3.0,3
11225,10128,7,3.0,3
11225,10280,3,3.0,3
11225,10282,1,3.0,3
11225,10301,23,3.0,3
11225,10302,10,3.0,3
11225,10303,16,3.0,3
11225,10304,22,3.0,3
11225,10305,22,3.0,3
11225,10306,31,3.0,3
11225,10307,7,3.0,3
11225,10308,24,3.0,3
11225,10309,21,3.0,3
11225,10310,12,3.0,3
11225,10312,37,3.0,3
11225,10314,31,3.0,3
11225,10451,18,3.0,3
11225,10452,18,3.0,3
11225,10453,21,3.0,3
11225,10454,9,3.0,3
11225,10455,9,3.0,3
11225,10456,24,3.0,3
11225,10457,20,3.0,3
11225,10458,24,3.0,3
11225,10459,15,3.0,3
11225,10460,12,3.0,3
11225,10461,13,3.0,3
11225,10462,32,3.0,3
11225,10463,23,3.0,3
11225,10465,10,3.0,3
11225,10466,22,3.0,3
11225,10467,20,3.0,3
11225,10468,24,3.0,3
11225,10469,13,3.0,3
11225,10471,5,3.0,3
11225,10472,24,3.0,3
11225,10473,20,3.0,3
11225,10474,4,3.0,3
11225,10475,9,3.0,3
11225,11001,1,3.0,3
11225,11004,3,3.0,3
11225,11005,1,3.0,3
11225,11101,12,3.0,3
11225,11102,12,3.0,3
11225,11103,14,3.0,3
11225,11104,13,3.0,3
11225,11105,14,3.0,3
11225,11106,12,3.0,3
11225,11109,1,3.0,3
11225,11201,55,3.0,3
11225,11203,233,3.0,3
11225,11204,65,3.0,3
11225,11205,67,3.0,3
11225,11206,78,3.0,3
11225,11207,138,3.0,3
11225,11208,114,3.0,3
11225,11209,91,3.0,3
11225,11210,136,3.0,3
11225,11211,55,3.0,3
11225,11212,176,3.0,3
11225,11213,399,3.0,3
11225,11214,74,3.0,3
11225,11215,103,3.0,3
11225,11216,130,3.0,3
11225,11217,64,3.0,3
11225,11218,119,3.0,3
11225,11219,74,3.0,3
11225,11220,91,3.0,3
11225,11221,90,3.0,3
11225,11222,41,3.0,3
11225,11223,65,3.0,3
11225,11224,24,3.0,3
11225,11225,543,3.0,3
11225,11226,312,3.0,3
11225,11228,49,3.0,3
11225,11229,94,3.0,3
11225,11230,94,3.0,3
11225,11231,28,3.0,3
11225,11232,32,3.0,3
11225,11233,102,3.0,3
11225,11234,180,3.0,3
11225,11235,70,3.0,3
11225,11236,165,3.0,3
11225,11237,45,3.0,3
11225,11238,141,3.0,3
11225,11239,11,3.0,3
11225,11354,10,3.0,3
11225,11355,15,3.0,3
11225,11356,4,3.0,3
11225,11357,6,3.0,3
11225,11358,11,3.0,3
11225,11360,8,3.0,3
11225,11361,11,3.0,3
11225,11362,3,3.0,3
11225,11363,3,3.0,3
11225,11364,18,3.0,3
11225,11365,18,3.0,3
11225,11366,6,3.0,3
11225,11367,14,3.0,3
11225,11368,29,3.0,3
11225,11369,6,3.0,3
11225,11370,11,3.0,3
11225,11372,15,3.0,3
11225,11373,34,3.0,3
11225,11374,16,3.0,3
11225,11375,18,3.0,3
11225,11377,50,3.0,3
11225,11378,44,3.0,3
11225,11379,30,3.0,3
11225,11385,91,3.0,3
11225,11411,9,3.0,3
11225,11412,12,3.0,3
11225,11413,14,3.0,3
11225,11414,15,3.0,3
11225,11415,9,3.0,3
11225,11416,10,3.0,3
11225,11417,15,3.0,3
11225,11418,20,3.0,3
11225,11419,20,3.0,3
11225,11420,23,3.0,3
11225,11421,24,3.0,3
11225,11422,14,3.0,3
11225,11423,15,3.0,3
11225,11426,15,3.0,3
11225,11427,11,3.0,3
11225,11428,5,3.0,3
11225,11429,11,3.0,3
11225,11430,1,3.0,3
11225,11432,29,3.0,3
11225,11433,17,3.0,3
11225,11434,36,3.0,3
11225,11435,17,3.0,3
11225,11436,11,3.0,3
11225,11691,44,3.0,3
11225,11692,20,3.0,3
11225,11693,9,3.0,3
11225,11694,28,3.0,3
11225,11697,9,3.0,3
11218,10001,13,3.0,3
11218,10002,88,3.0,3
11218,10003,40,3.0,3
11218,10004,14,3.0,3
11218,10005,5,3.0,3
11218,10007,3,3.0,3
11218,10009,60,3.0,3
11218,10010,5,3.0,3
11218,10011,32,3.0,3
11218,10012,15,3.0,3
11218,10013,33,3.0,3
11218,10014,17,3.0,3
11218,10016,10,3.0,3
11218,10017,5,3.0,3
11218,10018,3,3.0,3
11218,10019,17,3.0,3
11218,10021,10,3.0,3
11218,10022,10,3.0,3
11218,10023,26,3.0,3
11218,10024,20,3.0,3
